text,length
Chúc mừng các chàng trai PTIT,29
"NC Minh Hiếu
ng quen cho e xin ít exp giật giải",47
ngao nghe UDU,13
Đội của con được giải gì,24
"NC Minh Hiếu
quá tuyệt vời",26
"Nguyễn Hữu Nam
nhất b còn j",27
"Thuy Chi
Nguyễn Trang
ghê vậyyyy",32
Đỉnh thật. Chúc mừng các em. Chúc mừng nhà trường,49
"Chi Thuy
wow hẳn 2chục chiệu",28
UDU kìa,7
"[MÁU XƯƠNG ĐỔ XUỐNG - ĐẤT TRỜI LƯU DANH]
Từng suất chiếu ""Mưa Đỏ"" khép lại, nhưng cảm xúc tự hào và lòng biết ơn chắc chắn vẫn còn cuộn trào. Chúng ta đã cùng lặng đi trước những hy sinh vĩ đại của cha ông, để hiểu sâu sắc rằng: Nền hoà bình hôm nay được đánh đổi bằng máu xương, bằng niềm tin tuyệt đối, bằng sự đoàn kết sắt son, và bằng những lý tưởng cao đẹp được giữ trọn vẹn qua bão đạn.
Nếu ""Mưa Đỏ"" đã chạm đến bạn, hãy để lại một dòng cảm nhận, hoặc đơn giản, một lá cờ Tổ quốc 
.
Ba bài học ấy vẫn còn nguyên giá trị. Cha ông ta đã dùng máu xương để giữ trọn niềm tin nơi chiến tuyến. Còn chúng ta hôm nay, lại đang đối mặt với một ""kẻ thù"" vô hình, thứ lợi dụng chính lòng tin của chúng ta. Thật đau lòng khi ngay những ngày đầu nhập học, nhiều phụ huynh và tân sinh viên đã phải chịu những mất mát không đáng có, chỉ vì tin vào những nguồn thông tin không đáng tin cậy, nặc danh, phi chính thống. Đừng bao giờ đặt niềm tin vào nơi mà chính bạn cũng không biết họ là ai và từ đâu tới.
Bài học từ ""Mưa Đỏ"" là bất biến: Phải đoàn kết để bảo vệ thành quả và bảo vệ chính đồng đội của mình. Vì vậy, hãy cùng nhau xây dựng một cộng đồng D25 tỉnh táo, văn minh và đùm bọc lẫn nhau. Hãy đặt niềm tin trọn vẹn vào các kênh thông tin chính thống từ Thầy Cô và Học viện.
Cam kết của Học viện là sẽ luôn lắng nghe và đồng hành cùng các sinh viên. Con đường phía trước có thể còn chông gai, nhưng chắc chắn Thầy và Trò sẽ cùng nỗ lực hơn mỗi ngày.
Học viện sẽ làm tốt hơn mỗi ngày và các bạn cũng thế.
Mỗi ngày sẽ có nhiều hơn những sản phẩm Khoa học và Công nghệ, những nghiên cứu Đổi mới sáng tạo được khám phá bởi sinh viên PTIT.
Mỗi ngày sẽ có nhiều hơn những cơ hội việc làm, quyền lợi, chính sách tốt dành cho các bạn sinh viên PTIT.
Mỗi ngày sẽ có nhiều hơn sinh viên PTIT trên trường Quốc tế.
Mỗi ngày sẽ có nhiều hơn những hoạt động, chương trình trải nghiệm, giao lưu mang tới sự giải trí, vui vẻ cho sinh viên PTIT.
Chúng ta sẽ cùng kiến tạo ngôi nhà chung PTIT vững mạnh, để tiếp nối lý tưởng cao đẹp: góp phần xây dựng một dân tộc Việt Nam hùng cường.
Và sau những giây phút lắng đọng của lịch sử, hãy sẵn sàng cho những khoảnh khắc bùng nổ của tuổi trẻ! Một Chương trình âm nhạc Chào tân sinh viên PTIT 2025 hoành tráng đang chờ đón các bạn ở phía trước.
Hẹn gặp tất cả các bạn tại Sân A2 vào tối thứ Ba, ngày 16 tháng 9 năm 2025 nhé!
#PTIT #ChaoTanSinhVienD25 #MuaDo #NiemTin #DoanKet #LyTuongCaoDep #PTITMusicShow2025
___________________________________
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Đô, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. Sài gòn, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Đông: Km10 Đường Nguyễn Trãi, P.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Dương Nội, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: 97 Đường Man Thiện, P. Tăng Nhơn Phú,  TP.Hồ Chí Minh
► Fanpage: 
https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Tiktok: https://www.tiktok.com/@langthangptit
► Website: https://ptit.edu.vn",3082
Trường tặng thêm 1000 vé nữa đi ạ,33
Chậm chân mất rồi,17
Phim 2 tiếng em khóc hết 2 tiếng huhu (⁠っ⁠˘̩⁠╭⁠╮⁠˘̩⁠)⁠っ,55
"Minh Quân Lương
trường b sướng thế=))",37
BTC chắc phải chuẩn bị cả giấy khô cho khán giả lau nước mắt nữa ạ,66
Thuấn Đặng Hoa Lan,18
Đúng là trường bạch nguyệt quang của em,39
Cờ đỏ sao vàng,14
Buồn cho nam chính :((,22
"Hồng Nhung
eii nha",18
PTIT mãi đỉnh mãi đỉnh,22
"Nguyễn Bảo Trâm
oách",20
chịu ời,7
Sao mình k thấy tb j nhỉ,24
xem vứi huhu,12
"Lê Việt
trường m giàu vậy m =))",31
Long Phạm,9
Cỡ nàyy,7
"1000 VÉ “MƯA ĐỎ” ĐÃ CHÍNH THỨC FULL!
Xin chúc mừng những bạn tân sinh viên PTIT may mắn nhất đã đăng ký thành công để sở hữu tấm vé tham dự suất chiếu đặc biệt của bộ phim “Mưa Đỏ” – tác phẩm điện ảnh ý nghĩa trong dịp kỷ niệm mùa thu lịch sử của dân tộc.
Thông tin nhận vé:
Thời gian: 14h00 – 17h00, ngày 12/09
Địa điểm: Lab Huawei (Tầng 2 Hội trường A2)– Học viện Công nghệ Bưu chính Viễn thông
Khi đến nhận vé, các bạn mang theo thẻ sinh viên hoặc slink đăng ký có ảnh chân dung để đối chiếu thông tin.
Một lần nữa xin chúc mừng các bạn đã “bắt” được chiếc vé đặc biệt này! Hãy sẵn sàng để hòa mình vào cơn mưa đỏ trên màn ảnh rộng và cùng sống lại niềm tự hào dân tộc qua từng thước phim.
Hẹn gặp lại các bạn D25 tại rạp nhé!
___________________________________
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Đô, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. Sài gòn, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Đông: Km10 Đường Nguyễn Trãi, P.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Dương Nội, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: 97 Đường Man Thiện, P. Tăng Nhơn Phú,  TP.Hồ Chí Minh
► Fanpage: 
https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Tiktok: https://www.tiktok.com/@langthangptit
► Website: https://ptit.edu.vn",1380
Anh chị cho em hỏi nếu hôm nay em không đến nhận được thì mai có thể lấy sau ko ạ? Vì em ở quê lên nên sợ không kịp,115
Nếu chiều nay ko kịp lấy thì mai lấy đc ko ạ,44
"Nguyen Hoà
ơ đăng kí được chưa em ơi",36
"Vũ Công Hồng Minh,trường con đỉnh thật",38
Shcd thì hơn 5h đến đc ko vậy :vv,33
PH đi cùng đc ko nhỉ,20
Chất dữ,7
Trường ơi e chưa dc ma=)),25
trường ơi D24 cũng muốn ạ ....,30
Cũng muốn đi,12
lấy hộ có dc k ạ,16
Cho em hỏi là chiều nay e không ra lấy được thì sao ạ,53
Lấy hộ có đc kh ạ,17
Nguyễn Thế Hoàng,16
"1000 VÉ XEM PHIM ""MƯA ĐỎ"" LẦN II.
CƠN MƯA QUÀ TẶNG ĐẦU NĂM HỌC DÀNH CHO D25
Sau đợt phát vé lần I cho các bạn sinh viên Học viện do Đoàn thanh niên Học viện tổ chức. Để chào đón tân sinh viên khóa D25 và lan tỏa tinh thần yêu nước, tự hào dân tộc trong mùa thu lịch sử hào hùng của dân tộc, chào mừng kỷ niệm 28 năm ngày truyền thống Học viện (17/9/1997 - 17/9/2025), Học viện Công nghệ Bưu chính Viễn thông dành tặng 1000 vé xem phim điện ảnh “Mưa Đỏ”tới các bạn tân sinh viên.
Thông tin cụ thể:
Thời gian chiếu: Chủ nhật, ngày 14/9/2025.
Địa điểm:Trung tâm Chiếu phim Quốc gia (87 Láng Hạ, Ba Đình, Hà Nội).
Đối tượng: Tân sinh viên D25
Cách thức nhận vé: Sinh viên khoá D25 đăng nhập vào hệ thống Slink (phiên bản web) chọn mục ""Đăng ký nhận vé"", và chọn ca chiếu phim phù hợp để đăng ký. Khi hết vé hệ thống sẽ tự động đóng. Học viện sẽ thông báo lịch nhận vé cụ thể cho các bạn đăng ký thành công theo danh sách.
Lịch nhận vé dự kiến: thứ Sáu, ngày 12/9/2025. (Thông tin chi tiết sẽ được thông báo sau khi quá trình đăng ký kết thúc)
Hệ thống đăng ký sẽ được mở lúc 19h00 ngày 11/9/2025.
“Mưa Đỏ”không chỉ là một tác phẩm điện ảnh, mà còn tái hiện một cách chân thực và xúc động hành trình chiến đấu, hi sinh của dân tộc để giành lấy độc lập – tự do – hạnh phúc. Đây sẽ là cơ hội để mỗi PTITer trẻ thêm tự hào, thêm yêu Tổ quốc, và thêm động lực cho chặng đường học  tập, rèn luyện phía trước.
Các bạn D25 ơi, đừng bỏ lỡ cơ hội được hòa mình vào “cơn mưa đỏ” của niềm tự hào dân tộc ngay trên màn ảnh rộng nhé!
___________________________________
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Đô, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. Sài gòn, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Đông: Km10 Đường Nguyễn Trãi, P.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Dương Nội, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: 97 Đường Man Thiện, P. Tăng Nhơn Phú,  TP.Hồ Chí Minh
► Fanpage: 
https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Tiktok: https://www.tiktok.com/@langthangptit
► Website: https://ptit.edu.vn",2166
Có một fact mà có thể ít người biết …,37
Vào web r nhưng ko thấy mục đăng ký ạ,37
đk ở dâu v mn,13
"Tr Thu Trang
đi xem lần 2 này",29
đã săn:>,8
Giảng viên đk ở đâu hả ét min,29
AD cho e hỏi e nhờ bạn nhận hộ vé thì cần mang những gì ạ,57
Hôm đấy bận nhưng lỡ đki r coa pass vé cho ng thân đc ko sốp,60
Shop ơi em ko thấy,18
Hay quá shop,12
Có đợt 3 được kh sốp...,23
Trường ơi đợt 1 e chưa có đi,28
"Mai Hoa
giả D25 với em đi :<",28
"Lương Thế Vinh
sướng thế vinh",29
"Lê Đức Mạnh
cho mình sang ptit với",34
tân sinh viên cơ sở Ngọc Trục chỉ biết ước :(((,47
"Khánh Vân
đi phát nx",20
D24 có đc đi tiếp koooo,23
"Đức Dương
có làm việc k a",25
"Thặng Đinh
nhanh tay:))",23
Xem chỗ nào ở web ạ,19
Chán thía chưa gì đã hết,24
em tìm kh có ra sốp ơi,22
"Thanh Huong Do
giảng viên, chuyên viên dky ở đâuu",49
"Đoàn Ngọc
muốn xem lại",22
Hcm có kh ạ??,13
"Shop ơi
Đến h ruii
S em k thấy chỗ nào v ạaaa",45
"Đăng Duy
thấy khí chất chưa =))",31
"Nguyễn Vinh
trường P tôi yêu :)))",33
Trường xịn,10
"Khánh Vũ
cầu đc ước thấy à b",28
"Dương Huệ
biết thế chờ",22
"Nguyễn Bảo Trâm
đỉnh cao",24
Mình đổi lại lịch ntn được ạ?,29
D24 có suất k ạ =)),19
Em yêu Trường Em,16
Trg chơi lớn thế trường ơi,26
Ô sồi ô,7
"Shop cho hỏi: sinh viên khoá D90 (là 1990 á), giờ làm thầy của D25 - có được tặng vé không",90
"Đại Nam Nguyễn
ngon",19
"Hải Yến
cho em chị đi cùng bọn em còn mai chị lên trển luông dii",64
"Lại Quang Vinh
chào bạn, mình mới nhập trường ạ",47
"Đoàn Ngọc Minh Phúc
có thể là khóc",34
"Thân Nhân HảiAnh
lần 3 đi",25
"Đặng Đức Lộc
sướng nhất đại ca r nhé",36
"Ngọc Bích
tr ơi cỡ đó",21
Xin vía cho trường của mình.,28
Cho ké d23 hcm với ạ,20
"Buii Phuong Anh
giật slot cho tớ",32
"Thùy Trâm
em này D25 hẻ",23
"Anh Nguyen
bú đi, t xem r",25
"Đào Duy Tuấn Anh
nhanhh",23
"Nhật Ánh
xem k",14
"Thể Đen
k dc đi à",17
"Mạc Vinh
NHANH",14
"Vuong Duc Anh
ái cha",20
"Ngoc Anh
lẹ",11
"Nhat Pham Long
bt làm gì chuaaaa",32
"Đức Hoàng
chuyển trường liền",28
"Ngoc Mai
đi chưa",16
"Trần Ngọc Thuý
vl xem r thì tặng=))",35
"Thao Anh
luôn 2 vé",18
"Hoang Nam
thấy cũng ...",23
"Lâm Nguyễn
:))) vl chơi lớn ác",30
"Trần Ly
Phương Linh Phạm
eee",28
"Buồn của
Đỗ Hữu Quang",21
Ngọc Linhh con vk,17
"Ngọc Hoà
chỉ bt tiếc",20
em bé D25 nào k đi thì cho mình xin vé nhoaaaa,46
"Thanh Đào
thích thế",19
My Pham,7
Tú Uyên,7
Duy Anh Lê,10
Đỗ Tuấnn Tú,11
Trần Thu Phương,15
Dương Hoài,10
Hoàng Hạnh,10
Thảo Ngân,9
Nguyễn Trí Dũng,15
Hoangnguyen Nguyen,18
Maii Huongg,11
Minh Hải,8
Đức Mạnh,8
Ha Ngoc,7
Gia Huy,7
Vương Tiêu'n,12
Nguyễn Thảo,11
Thuy Linh,9
"Hồng Ngọc
Quang Huy",19
Minh Khang,10
Nhattsanh Lê,12
"Trần Quỳnh
Nguyễn Ngọc M.Châu
lẹ",32
"LẦN ĐẦU TIÊN XUẤT HIỆN TẠI PTIT
Cuộc thi Thiết kế Lịch PTIT 2026 – Xuân Bính Ngọ chính thức “rục rịch” khởi động!
Đây sẽ là sân chơi sáng tạo hoàn toàn mới, nơi các PTIT-er thỏa sức gửi gắm ý tưởng, cảm hứng và dấu ấn cá nhân vào từng thiết kế lịch – vật phẩm gắn bó với thầy cô, sinh viên suốt cả năm học.
Bạn đã sẵn sàng trở thành người đặt dấu ấn cho bộ lịch đầu tiên do chính tay sinh viên PTIT thiết kế chưa?
Hãy chờ đón thể lệ và chi tiết tham gia sẽ được bật mí trong thời gian tới!
#PTIT #CuocThiThietKeLich2026 #LichPTIT
——————————————————————————-
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Đô, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. Sài gòn, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Đông: Km10 Đường Nguyễn Trãi, P.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Dương Nội, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: 97 Đường Man Thiện, P. Tăng Nhơn Phú,  TP.Hồ Chí Minh.
► Fanpage: 
https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Tiktok: https://www.tiktok.com/@langthangptit
► Website: https://ptit.edu.vn",1173
vậy quà tết năm nay là lịch :))),32
"Yến Nhi
Nguyễn Việt Hoàng
idol e đâu",36
Em sẵn sàng roii,16
"Lê Quốc Sơn
=)))))",18
năm nay t pk dành đc một cuốn lịch,34
tốt tốt quá rồi,15
Bùi Hiệp,8
"Hùng Minh Lê
làm quả cho ae đánh vần O với A đi e",49
"Trần Nguyệt
ê :>",16
"Đỗ Thành Trọng
làm tí =))",25
"ĐÂY RỒI! CA SĨ KHÁCH MỜI CỦA 𝐌𝐀𝐏 𝐘𝐎𝐔𝐑 𝐌𝐎𝐔𝐍𝐓𝐀𝐈𝐍 ĐÃ LỘ DIỆN
“Vậy thì đừng để cho anh phải cô đơn
Khiến cho đôi môi khô hơn
Ta đến bên nhau thôi”
Và giờ, 𝑸𝒖𝒂̂𝒏 𝑨.𝑷 “đến bên PTIT” thật rồi!
Anh trai 𝑸𝒖𝒂̂𝒏 𝑨.𝑷 - Nam ca sĩ với giọng hát trầm ấm, người từng khiến bao con tim “tan chảy” với loạt hit đình đám như You are my crush, Bông hoa đẹp nhất, Ai là người thương em… sẽ xuất hiện tại đêm nhạc Chào sinh viên PTIT 2025: Map Your Mountain.
Đây không chỉ là một bữa tiệc âm nhạc, mà còn là một bữa tiệc cảm xúc - nơi chúng ta cùng nhau cất tiếng hát, cùng nhau quẩy hết mình, cùng nhau viết nên ký ức đầu tiên của những năm tháng đại học.
Vậy nên D25 ơiii, các bạn đã sẵn sàng chưa? Chuẩn bị lên đồ và đếm ngược từng ngày để được gặp 𝑸𝒖𝒂̂𝒏 𝑨.𝑷 thôi nào!!!
___________________________
Các đơn vị đối tác có nhu cầu tài trợ cho chuỗi hoạt động chào tân sinh viên, vui lòng liên hệ:
Đ/c Vũ Thùy Linh - Phó Trưởng Ban Tổ chức - SĐT: 0906 024 296
Đ/c Nguyễn Quỳnh Chi - Trưởng Ban Đối ngoại - SĐT: 0968280605
#ChaosinhvienPTIT2025 #MapYourMountain
___________________________
THÔNG TIN LIÊN HỆ ĐTN PTIT:
➤ Fanpage: 
https://www.facebook.com/DoanThanhNienHVCNBCVT
➤ Email: Doanthanhnien@ptit.edu.vn
➤ Địa chỉ: Phòng 101, KTX B5 – Học viện Công nghệ Bưu chính Viễn thông
___________________________________
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Đô, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. Sài gòn, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Đông: Km10 Đường Nguyễn Trãi, P.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Dương Nội, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: 97 Đường Man Thiện, P. Tăng Nhơn Phú,  TP.Hồ Chí Minh
► Fanpage: 
https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Tiktok: https://www.tiktok.com/@langthangptit
► Website: https://ptit.edu.vn",1910
Tôy cần tụ họp quân đội hát bài bông hoa tệ nhất ạaa,52
"Long Huy
idol của em:)) a cho e đi xem lậu đi",45
e tưởng trường mời a j97,24
hú hú em thích lắm,18
Thế là ước mơ con vợ Lê Vy Thục San và Qkang tan biến,53
sv trường ngoài vào có cần vé không ạ,37
Biểu diễn ở cơ sở nào vậy ạ,27
"Nguyễn Quang Hà
phải a jack là đi chào tân rồi",46
ôi yêu PTIT,11
"Ly Kim
nhìn lại trường mik đúng chánnn",38
"Ngọc Ngọc
anh nghĩ là năm nay sẽ oách đấy :)))))))",50
"Cẩm Tú
vừa cơ bắp vừa quân ap",29
Bông hoa đẹp nhất,17
trường ơi cho tsv trường khác vô coi ké đc không ạ,50
Cứ tưởng là anh trai Quốc Kang hoặc anh trai Sena chứ :))))),60
Tổ chức ở cơ sở nào thé,23
K thấy có đêm nhạc nào chào đón cựu svien quay lai PTIT để xúng xính cùng đồng môn quay về nhỉ,94
E tưởng trường mời bỏ con cơ,28
Chắc cơ sở ngoài bắc,20
Không quen ai ptit để xem ké,28
"Minh Anh
ước trường U xanh nhìn thấy và tự ái",45
E tưởng lê vy thục san=)),25
vl tồng yêu ơi,14
"Ae cho mình hỏi start lúc mấy h, hôm nào đấy nhỉ",48
E sẵn sàng r,12
"chịu bạn
Quỳnh Hg
ca sĩ thế này đi bỏ trường",44
Sao trường kh mời anh J97 ạ,27
ơ ko phải mình à,16
cựu boi phố về bản,18
Em tưởng quốc kang,18
ôi em yêu trườnggg,18
"Bảo Trâm
đi không bạn ơi",24
em yêu trường,13
ôi ba má ơiii,13
Anh chack đâu rồi,17
Trường nghĩ sao về card bo góc+ chữ kí,38
vch trường ơi,13
"Thu Trang
quay vd full hd gửi em chồng ơi",41
"Trịnh Ngọc Bách
t muốn quốc kang thì lsao đc m",46
hệ hệ chòng,11
Ôiiiiii,7
"Minh Thuý
ko pk qkang vs lvts đâu, thế có đi ko :)))",52
jack đâu?,9
Woaaaa,6
mấyh với tổ chức cơ sở nào vậy trường oi,40
em ké đc kh ạ,13
"Phuong Anh Nguyen
huhuhuhu bà Phanhhhhhhh",41
được đấy,8
Ko phải negav à?,16
không phải anh j hả,19
"Minh Tú
mạnh thíii nào cho e sang ké",36
trường khác vô đc ko ạ,22
All in,6
Sinh viên trường khác đi được kh ạ,34
"Ngọc Lê
đi không",16
"Trg khác vô dc không ạ
em yêu ptit vô cùng ạ",44
đây zồiiii,10
"Khoa Đăng
bh đấy t hóng phát",28
"Thanh Mai
cbi đi tiếp",21
sao hôm trc trường gửi mail mời em cơ mà,40
"Vũ Thanh Vân
trường c đã đời v ?????? em đi với",47
Thích thế em cũng muốn,22
"Nguyen Van Anh
Cẩm Ly
trộm víaa chồng hát bài nào cũm thuộc hihiii",66
sv ngoài trường đc vào kh ạ,27
"Thanh Tuyenww
Hoàng Uyên Thảo
Nguyễn Tâm
các tình iu ơi đến đây chơi",68
em yêu trườnggggg,17
"Cho em xin bài ""bông hoa tệ nhất""
1337 Family",45
"Ngoc Anh
tớ có dec xem.hem cậu",30
"Phạm Hương
Thảo Phạm
năm 4 cũng xúng xính nào",45
"Vũ Hiếu
Vũ Mạnh
ơ kp anh trai brian ba à",40
Ko phải quốc kang à,19
"Chồng của em ơi, sao anh ở kh vào với em",40
Em yêu trường em,16
"Nguyễn Hưng
sao trg m hiện trên feed t hoài v",45
"Phương Linh
Thao Vy
Linh
e iêu trường bạn e",43
"Đỗ Linhh
Huyền Nguyễn
Đặng Giang
năm ngoái lỡ hẹn với Quân AP ở hanu, năm nay làm lại",85
"Em thích hoa hồng vào mùa đông, được anh Quân AP ôm phía sau lưng",65
Đếm ngày gặp boi phố thuii,26
svien trường khác đến đk ạ,26
"Nguyễn Đình Việt
kh phải sinh viên trường có dc vào kh ....",59
"Hiền Lương
M thích đúng không",29
Ơ sao kh phải anh j..,21
"Ngô Ánh
Nguyễn Ánh Ngọc
triển thui 2 e",38
oi doi oi,9
"Trần Trọng Đạt
cho minh vào trường đc ko",40
"Thu Hà
Kiên Lê
chờ b sang đây",29
Quàng tử,8
Ối dồi,6
"Quynh Anh
ê chồng t",19
Phải đi xem rồi,15
"Thùy Linhh
cho vào xem ké với",29
"Khắc Thịnh
Doãn Thanh Phương
negav của mấy embes đâu r...",57
"Tran Linh
hẹn cổng",18
đã quá ptit ơiiiiiiiiiii,24
"vccc, bạn nào PTIT cho mình làm quen để sang xem ké với huhu·",61
Lên cho con phím Bông hoa đẹp nhấccc,36
"Thiều Yến Nhi
đi thôiii",23
"Tố Uyên
nói chỉ có chuẩn",24
cho đi ké,9
Oii. Truoường năm nay chs lớn thế,33
"Đoàn Quỳnh Trang
di ngay thoi",29
cơ sở nào z ta,14
"Thanh Huyền
tôi đã sai",22
"Trần Đình Tuấn Anh
t muốn coi",29
"Tuấn Khanh
ý là..",17
"Ánh Quyên
đã vậy",16
"Lê Quỳnh Anh
tiếc quá trường ko mời karik",41
Trường khác vào quẩy chung được khum sốp,40
